order,segment,frequency,time_since_switch,absolute_time,actual_error,theory_bound,bound_utilization,implicit_oracle_error,pece_oracle_error,pass
0.97,2,2.3,1.0,41.0,0.1397796098428366,1.9732484961789973,0.07083730716810688,0.00010724057633303803,0.00014317801962856772,1
0.97,2,2.3,2.0,42.0,0.06996307497856544,1.028471498972837,0.06802626523772365,8.524116160906462e-05,0.00013126538508896702,1
0.97,2,2.3,5.0,45.0,0.0099460786669612,0.1846528245696142,0.05386366924060522,8.721358298453793e-05,0.000128658482028196,1
0.97,2,2.3,10.0,50.0,0.0006230796965205398,0.03253136603972834,0.019153198047681584,8.823321950207844e-05,0.00012911294908157922,1
0.97,2,2.3,20.0,60.0,0.0002967885813009501,0.01135187510563422,0.026144454421776233,8.825557705460401e-05,0.0001289876768086082,1
0.97,2,2.3,demodulated_last_half,60.0,8.36225125584238e-05,0.03253136603972834,0.0025705195550749797,nan,nan,1
1.0,0,0.8,1.0,1.0,0.6491342619040698,1.076383870430466,0.6030694808205077,1.9923423202006674e-05,4.9069122060472665e-05,1
1.0,0,0.8,2.0,2.0,0.32235053464904506,0.5345164112938862,0.603069480820508,2.692625171552111e-05,5.716659750733053e-05,1
1.0,0,0.8,5.0,5.0,0.0394738951185613,0.06545497056965113,0.6030694808205105,1.9035593003833006e-05,5.142939248133027e-05,1
1.0,0,0.8,10.0,10.0,0.0011920083460675067,0.0019765688431883288,0.6030694808204722,1.9230975668709064e-05,5.4020815396288556e-05,1
1.0,0,0.8,20.0,20.0,1.0869709138511546e-06,1.8023974817803894e-06,0.6030694809767799,1.910460499651077e-05,5.399342397848913e-05,1
1.0,0,0.8,demodulated_last_half,20.0,9.500398384201018e-05,0.0019765688431883288,0.04806510239671836,nan,nan,1
1.0,1,1.4,1.0,21.0,0.2265079102580761,1.9737213633147532,0.11476184757795238,5.203291139963914e-05,8.703486116767541e-05,1
1.0,1,1.4,2.0,22.0,0.11248049942666402,0.9801210228012517,0.11476184757795237,5.297839397671092e-05,9.46979054531457e-05,1
1.0,1,1.4,5.0,25.0,0.013773960207900894,0.12002211970790072,0.11476184757795269,4.742146718096049e-05,8.370447095166793e-05,1
1.0,1,1.4,10.0,30.0,0.00041593755764180606,0.003624353967978888,0.1147618475779706,4.724738679069356e-05,8.546237692692832e-05,1
1.0,1,1.4,20.0,40.0,3.792859576662576e-07,3.3049830201858983e-06,0.11476184759488524,4.722453222287678e-05,8.554714467490686e-05,1
1.0,1,1.4,demodulated_last_half,40.0,6.766736371333416e-05,0.003624353967978888,0.01867018627627828,nan,nan,1
1.0,2,2.3,1.0,41.0,0.15022734252879483,1.9737213633147532,0.07611375410989954,0.00010867540354995812,0.00013533454139943906,1
1.0,2,2.3,2.0,42.0,0.07460069052743766,0.9801210228012517,0.07611375410989948,8.622722628739571e-05,0.00012299511065029777,1
1.0,2,2.3,5.0,45.0,0.009135334107196037,0.12002211970790072,0.07611375410989915,8.787628204489662e-05,0.00012027292689002773,1
1.0,2,2.3,10.0,50.0,0.0002758631867259877,0.003624353967978888,0.07611375410990062,8.874818037889517e-05,0.0001206446584677086,1
1.0,2,2.3,20.0,60.0,2.515546648684907e-07,3.3049830201858983e-06,0.0761137540895267,8.875979125524912e-05,0.00012057015016716701,1
1.0,2,2.3,demodulated_last_half,60.0,8.337958149179283e-05,0.003624353967978888,0.023005363777503566,nan,nan,1
