order,damping,switch_scale,dwell_scale,exact_error,theory_bound,bound_utilization,pass
0.97,0.25,0.5,0.0625,5.21552513226062,7.468888218405209,0.6983000655182201,1
0.97,0.25,0.5,0.25,4.273063527004412,6.151361749577553,0.6946532655631683,1
0.97,0.25,0.5,1.0,2.028170201443366,2.9599443337537807,0.6852055217103541,1
0.97,0.25,0.5,4.0,0.1625177599238652,0.2564418078981021,0.6337412813297669,1
0.97,0.25,0.5,16.0,0.009979463324951936,0.01929131879999681,0.5173033232416223,1
0.97,0.25,2.0,0.0625,6.902544541758798,7.468888218405209,0.9241729612111748,1
0.97,0.25,2.0,0.25,5.668872488460097,6.151361749577553,0.9215638291552937,1
0.97,0.25,2.0,1.0,2.697413246558798,2.9599443337537807,0.9113053971315593,1
0.97,0.25,2.0,4.0,0.2113912373973896,0.2564418078981021,0.8243243920717737,1
0.97,0.25,2.0,16.0,0.010851710648582952,0.01929131879999681,0.5625178227102207,1
0.97,0.25,8.0,0.0625,7.444447275308386,7.468888218405209,0.9967276330315676,1
0.97,0.25,8.0,0.25,6.127879298333335,6.151361749577553,0.9961825605125839,1
0.97,0.25,8.0,1.0,2.939587503657202,2.9599443337537807,0.9931225631967334,1
0.97,0.25,8.0,4.0,0.24281966093107418,0.2564418078981021,0.946880163267135,1
0.97,0.25,8.0,16.0,0.013133106014674418,0.01929131879999681,0.6807780303063878,1
0.97,1.0,0.5,0.0625,1.303881283065098,1.8672220546012388,0.6983000655182134,1
0.97,1.0,0.5,0.25,1.0682658817510913,1.5378404373943717,0.6946532655631682,1
0.97,1.0,0.5,1.0,0.5070425503608336,0.7399860834384375,0.6852055217103505,1
0.97,1.0,0.5,4.0,0.04062943998096566,0.06411045197452697,0.6337412813297427,1
0.97,1.0,0.5,16.0,0.0024948658312422796,0.004822829700003735,0.5173033232420269,1
0.97,1.0,2.0,0.0625,1.7256361354396357,1.8672220546012388,0.9241729612111721,1
0.97,1.0,2.0,0.25,1.417218122115007,1.5378404373943717,0.9215638291552926,1
0.97,1.0,2.0,1.0,0.6743533116396916,0.7399860834384375,0.9113053971315581,1
0.97,1.0,2.0,4.0,0.05284780934935434,0.06411045197452697,0.8243243920718634,1
0.97,1.0,2.0,16.0,0.0027129276621480876,0.004822829700003735,0.5625178227101791,1
0.97,1.0,8.0,0.0625,1.8611118188270321,1.8672220546012388,0.996727633031567,1
0.97,1.0,8.0,0.25,1.5319698245833164,1.5378404373943717,0.9961825605125834,1
0.97,1.0,8.0,1.0,0.7348968759142925,0.7399860834384375,0.9931225631967329,1
0.97,1.0,8.0,4.0,0.060704915232769635,0.06411045197452697,0.9468801632671306,1
0.97,1.0,8.0,16.0,0.003283276503666009,0.004822829700003735,0.6807780303052098,1
0.97,4.0,0.5,0.0625,0.32597032076628996,0.4668055136503267,0.6983000655182211,1
0.97,4.0,0.5,0.25,0.26706647043777687,0.3844601093485982,0.6946532655631692,1
0.97,4.0,0.5,1.0,0.1267606375902102,0.18499652085961116,0.6852055217103538,1
0.97,4.0,0.5,4.0,0.010157359995241505,0.016027612993631885,0.6337412813297427,1
0.97,4.0,0.5,16.0,0.0006237164578095018,0.001205707424999932,0.5173033232415707,1
0.97,4.0,2.0,0.0625,0.43140903385992596,0.4668055136503267,0.924172961211175,1
0.97,4.0,2.0,0.25,0.3543045305287571,0.3844601093485982,0.9215638291552938,1
0.97,4.0,2.0,1.0,0.1685883279099247,0.18499652085961116,0.9113053971315591,1
0.97,4.0,2.0,4.0,0.013211952337338606,0.016027612993631885,0.8243243920718574,1
0.97,4.0,2.0,16.0,0.0006782319155366409,0.001205707424999932,0.5625178227103306,1
