order,damping,morphology_abs,frequencies,relative_error,draws,certifiable,primary_pass_0p02,exploratory_pass_0p05,chain_coverage,disk_true_feasible,max_u_w,max_u_r,max_u_alpha,p95_u_alpha,median_chain_width,median_disk_width_subset
0.5,0.8,1.25299641,0.7-1.9-2.6,0.005,128,128,0,0,1.0,1.0,0.9932619178426416,0.8032249316274229,0.5211858566361077,0.4806445843698969,0.2712326080012644,0.23224519924103948
0.5,0.8,1.25299641,0.7-1.9-2.6,0.01,128,128,0,0,1.0,1.0,0.9961245047196788,0.873557112744337,0.6440835301954342,0.47741021822661095,0.429707247015267,0.5469470900912333
0.5,0.8,1.25299641,1.0-1.4-1.9,0.0001,128,128,128,128,1.0,1.0,0.9989582860328722,0.8321670328200588,0.7541137818795044,0.5826410931626831,0.02180013792985866,0.020240385492029916
0.5,0.8,1.25299641,1.0-1.4-1.9,0.001,128,128,0,0,1.0,1.0,0.9993101182865534,0.7717366696455856,0.71830550938508,0.5651384964990019,0.19946085132260116,0.20597785525939669
0.5,0.8,1.25299641,1.0-1.4-1.9,0.005,128,128,0,0,1.0,1.0,0.99943196897175,0.7595101390113105,0.6074246385205598,0.3996506523897829,0.6,0.5684224298400751
0.5,0.8,1.25299641,1.0-1.4-1.9,0.01,128,128,0,0,1.0,1.0,0.9984695985206854,0.8141376282047837,0.326311977726164,0.2708845185138545,0.6,0.6
0.5,1.5,1.0198039,0.7-1.0-1.4,0.0001,128,128,128,128,1.0,1.0,0.9991098832033319,0.8510238991861092,0.7579599238909338,0.5846208770826904,0.02817296266193825,0.027390146713694524
0.5,1.5,1.0198039,0.7-1.0-1.4,0.001,128,128,0,0,1.0,1.0,0.9986698282893675,0.7899773774072893,0.6703371778395737,0.5801692865712849,0.24235974340608663,0.2657159770686301
0.5,1.5,1.0198039,0.7-1.0-1.4,0.005,128,128,0,0,1.0,1.0,0.9987440606574005,0.7913264330196056,0.4633984150906654,0.3552558405508157,0.6,0.5923373301752564
0.5,1.5,1.0198039,0.7-1.0-1.4,0.01,128,128,0,0,1.0,1.0,0.998948519103363,0.7247466656593557,0.20645116370029834,0.18591921249493704,0.6,0.6
0.5,1.5,1.0198039,0.7-1.4-2.6,0.0001,128,128,128,128,1.0,1.0,0.9993068779185761,0.8324747341464791,0.7356220248228468,0.5688703510145978,0.006739188715027905,0.006550768439302246
0.5,1.5,1.0198039,0.7-1.4-2.6,0.001,128,128,0,128,1.0,1.0,0.9965458263765438,0.8265416231570025,0.6800603954255366,0.5284617697102455,0.06807505107976791,0.0640663990633788
0.5,1.5,1.0198039,0.7-1.4-2.6,0.005,128,128,0,0,1.0,1.0,0.9961582610328954,0.7537872835846722,0.6712424263339941,0.4614272531948577,0.2712664609941384,0.2586239000611408
0.5,1.5,1.0198039,0.7-1.4-2.6,0.01,128,128,0,0,1.0,1.0,0.9981954287199115,0.7876457936917706,0.4677894574564722,0.30302555417334975,0.4203256466144693,0.4515499919053132
0.5,1.5,1.0198039,0.7-1.9-2.6,0.0001,128,128,128,128,1.0,1.0,0.9996361196260088,0.8568065330819764,0.8140924731977051,0.5627465232600191,0.009535051735747313,0.00959192385628943
0.5,1.5,1.0198039,0.7-1.9-2.6,0.001,128,128,0,0,1.0,1.0,0.9988067379344711,0.8347778658379679,0.746630436631592,0.5593615084992496,0.09657798299003822,0.0977312907905685
0.5,1.5,1.0198039,0.7-1.9-2.6,0.005,128,128,0,0,1.0,1.0,0.9958476336424946,0.8544525778657458,0.7540970052619173,0.4690359825327864,0.34158893142348445,0.33902169645229197
0.5,1.5,1.0198039,0.7-1.9-2.6,0.01,128,128,0,0,1.0,1.0,0.997078121408083,0.8400291661997793,0.5440266059686462,0.43430869023684465,0.561170778455562,0.5679530566334348
0.5,1.5,1.0198039,1.0-1.4-1.9,0.0001,128,128,128,128,1.0,1.0,0.9991228663422186,0.8713106993499916,0.8005332543100067,0.531910924866273,0.02996255185425986,0.029597703321773
0.5,1.5,1.0198039,1.0-1.4-1.9,0.001,128,128,0,0,1.0,1.0,0.9946788262429943,0.811702575064531,0.6359963938151624,0.5120519338920269,0.24343583504250993,0.2269933839490294
0.5,1.5,1.0198039,1.0-1.4-1.9,0.005,128,128,0,0,1.0,1.0,0.9968099120911326,0.7724341370315748,0.4610656795826014,0.3315790313441792,0.6,0.6
0.5,1.5,1.0198039,1.0-1.4-1.9,0.01,128,128,0,0,1.0,1.0,0.9933596125432039,0.6930650149366606,0.19780766958526227,0.18999046444494527,0.6,0.6
0.5,1.5,1.25299641,0.7-1.0-1.4,0.0001,128,128,128,128,1.0,1.0,0.9998682163887603,0.8520983115886684,0.7608892880715106,0.5580445797729726,0.02828740879090222,0.028222442858055335
0.5,1.5,1.25299641,0.7-1.0-1.4,0.001,128,128,0,0,1.0,1.0,0.99892559763183,0.823611881385821,0.6340311392861634,0.5312211250336836,0.2307794007785104,0.2680733514779786
0.5,1.5,1.25299641,0.7-1.0-1.4,0.005,128,128,0,0,1.0,1.0,0.9954864878819255,0.8609369204109607,0.4622043990609451,0.38137148730490794,0.6,0.6
0.5,1.5,1.25299641,0.7-1.0-1.4,0.01,128,128,0,0,1.0,1.0,0.9992642551888835,0.7406495078221974,0.20635289688134312,0.18892473434985865,0.6,0.6
0.5,1.5,1.25299641,0.7-1.4-2.6,0.0001,128,128,128,128,1.0,1.0,0.9990657692698608,0.8007551461606512,0.7238792086236524,0.4862965041394349,0.006725384049559607,0.006306551828932749
0.5,1.5,1.25299641,0.7-1.4-2.6,0.001,128,128,0,128,1.0,1.0,0.9994786367712166,0.8466488622196674,0.7676975113006986,0.545201005603418,0.06835496135804522,0.06589878210282438
0.5,1.5,1.25299641,0.7-1.4-2.6,0.005,128,128,0,0,1.0,1.0,0.9968625837411945,0.7463539531243975,0.5995496578982078,0.5006467661599552,0.271287835830094,0.22229858993867163
0.5,1.5,1.25299641,0.7-1.4-2.6,0.01,128,128,0,0,1.0,1.0,0.999571268236762,0.7832859020349285,0.4970929036891953,0.3453838123217269,0.4453565619893424,0.3720759910048898
0.5,1.5,1.25299641,0.7-1.9-2.6,0.0001,128,128,128,128,1.0,1.0,0.998792627984305,0.860037812379574,0.779828007927191,0.5870346181817693,0.009521885848789768,0.009716219838541484
0.5,1.5,1.25299641,0.7-1.9-2.6,0.001,128,128,0,0,1.0,1.0,0.9989568865505755,0.8966941781202427,0.6867013249430712,0.5693299522836243,0.09561955907538502,0.09313150862964373
0.5,1.5,1.25299641,0.7-1.9-2.6,0.005,128,128,0,0,1.0,1.0,0.9989310456959182,0.8344795718879808,0.51239856561603,0.40804624030938386,0.3235551166791991,0.38274596568664765
0.5,1.5,1.25299641,0.7-1.9-2.6,0.01,128,128,0,0,1.0,1.0,0.999102675929994,0.7945675181962315,0.5988738824152992,0.4562169603913584,0.530384252622207,0.5139396184408558
0.5,1.5,1.25299641,1.0-1.4-1.9,0.0001,128,128,128,128,1.0,1.0,0.9985800438253554,0.7746970654144266,0.7156070450403151,0.5018091810291023,0.030096326691637004,0.0296278965360815
0.5,1.5,1.25299641,1.0-1.4-1.9,0.001,128,128,0,0,1.0,1.0,0.9949892895191614,0.7750739525833652,0.6384465851681485,0.5814247769568139,0.24355178477699152,0.23281369366308224
0.5,1.5,1.25299641,1.0-1.4-1.9,0.005,128,128,0,0,1.0,1.0,0.9975786071335095,0.7249560545818257,0.4595584638893198,0.37421647811595254,0.6,0.5838901667769616
