relative_error,phase1,phase2,phase3,u_r,u_alpha,chain_contains
0.005,4.71238898038469,3.141592653589793,3.141592653589793,0.27848956394486324,0.11944664630612621,1
0.005,4.71238898038469,3.141592653589793,4.71238898038469,0.7369890844767772,0.5165768377747316,1
0.005,4.71238898038469,4.71238898038469,0.0,0.6032156426138379,0.08933074039854302,1
0.005,4.71238898038469,4.71238898038469,1.5707963267948966,0.7635851824654988,0.47268116333609533,1
0.005,4.71238898038469,4.71238898038469,3.141592653589793,0.48938530441809736,0.30068278947798743,1
0.005,4.71238898038469,4.71238898038469,4.71238898038469,0.1248231446819215,0.08430133077292826,1
0.01,0.0,0.0,0.0,0.12280403642985958,0.01980331208254223,1
0.01,0.0,0.0,1.5707963267948966,0.5885407164280816,0.24004397819998727,1
0.01,0.0,0.0,3.141592653589793,0.752611632327759,0.22092343590934813,1
0.01,0.0,0.0,4.71238898038469,0.48675192326300387,0.1553166838745545,1
0.01,0.0,1.5707963267948966,0.0,0.5921795470459762,0.4084813641243052,1
0.01,0.0,1.5707963267948966,1.5707963267948966,0.1266495982362089,0.01156078122126991,1
0.01,0.0,1.5707963267948966,3.141592653589793,0.7356833235315702,0.19600616562288203,1
0.01,0.0,1.5707963267948966,4.71238898038469,0.9435032968689205,0.5964310576561788,1
0.01,0.0,3.141592653589793,0.0,0.9311487127578997,0.41194092963467654,1
0.01,0.0,3.141592653589793,1.5707963267948966,0.4725642085650233,0.009976485220156381,1
0.01,0.0,3.141592653589793,3.141592653589793,0.2793238511803578,0.18701431612210878,1
0.01,0.0,3.141592653589793,4.71238898038469,0.8509901542295379,0.592304965337091,1
0.01,0.0,4.71238898038469,0.0,0.7193998189632711,0.014473181439021748,1
0.01,0.0,4.71238898038469,1.5707963267948966,0.7400202223671593,0.24094392205071155,1
0.01,0.0,4.71238898038469,3.141592653589793,0.34079505263221666,0.22774669744981815,1
0.01,0.0,4.71238898038469,4.71238898038469,0.2760867154011174,0.15336255234677865,1
0.01,1.5707963267948966,0.0,0.0,0.27182884438328536,0.11440375098528732,1
0.01,1.5707963267948966,0.0,1.5707963267948966,0.7074212077644667,0.23709071988299762,1
0.01,1.5707963267948966,0.0,3.141592653589793,0.7398402922289157,0.24040003169821067,1
0.01,1.5707963267948966,0.0,4.71238898038469,0.3435029850691145,0.055238870832538145,1
0.01,1.5707963267948966,1.5707963267948966,0.0,0.4899807162527534,0.3081899143629048,1
0.01,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.12334256088173946,0.08291589329405327,1
0.01,1.5707963267948966,1.5707963267948966,3.141592653589793,0.5981001185989382,0.09599031786138214,1
0.01,1.5707963267948966,1.5707963267948966,4.71238898038469,0.769428217219306,0.4905057603878402,1
0.01,1.5707963267948966,3.141592653589793,0.0,0.9341533378824698,0.3150391866361044,1
0.01,1.5707963267948966,3.141592653589793,1.5707963267948966,0.580561895393516,0.08124669476704958,1
0.01,1.5707963267948966,3.141592653589793,3.141592653589793,0.13071424216834376,0.09035341334282326,1
0.01,1.5707963267948966,3.141592653589793,4.71238898038469,0.7418081927363822,0.48987089071802803,1
0.01,1.5707963267948966,4.71238898038469,0.0,0.8300271769728459,0.10581418807657848,1
0.01,1.5707963267948966,4.71238898038469,1.5707963267948966,0.9016207562869994,0.23802247335159263,1
0.01,1.5707963267948966,4.71238898038469,3.141592653589793,0.4649932504338154,0.2413603263062093,1
0.01,1.5707963267948966,4.71238898038469,4.71238898038469,0.2790459632975093,0.05664267000001042,1
0.01,3.141592653589793,0.0,0.0,0.27208171823319793,0.18052784449967185,1
0.01,3.141592653589793,0.0,1.5707963267948966,0.8165721379222596,0.23536635842862966,1
0.01,3.141592653589793,0.0,3.141592653589793,0.9054653234470103,0.23865715130603615,1
0.01,3.141592653589793,0.0,4.71238898038469,0.47444163423902924,0.010047627850437876,1
0.01,3.141592653589793,1.5707963267948966,0.0,0.34983380975825756,0.23857955950656942,1
0.01,3.141592653589793,1.5707963267948966,1.5707963267948966,0.2710873697786054,0.14704115951700178,1
0.01,3.141592653589793,1.5707963267948966,3.141592653589793,0.7206710005111898,0.03263872208108958,1
0.01,3.141592653589793,1.5707963267948966,4.71238898038469,0.7605351121521856,0.42173227364367577,1
0.01,3.141592653589793,3.141592653589793,0.0,0.7635861378918899,0.23987924624237847,1
0.01,3.141592653589793,3.141592653589793,1.5707963267948966,0.4828010842036832,0.15065557018861242,1
0.01,3.141592653589793,3.141592653589793,3.141592653589793,0.12344225367555928,0.02160161330284367,1
0.01,3.141592653589793,3.141592653589793,4.71238898038469,0.6028734600292069,0.4154312182238114,1
0.01,3.141592653589793,4.71238898038469,0.0,0.7223777913575854,0.17736063287977546,1
0.01,3.141592653589793,4.71238898038469,1.5707963267948966,0.90629388673926,0.23623269752073603,1
0.01,3.141592653589793,4.71238898038469,3.141592653589793,0.5742722145537432,0.2395509114222079,1
0.01,3.141592653589793,4.71238898038469,4.71238898038469,0.12888117200531427,0.014178950871710973,1
0.01,4.71238898038469,0.0,0.0,0.12485376948452857,0.08539453300581172,1
0.01,4.71238898038469,0.0,1.5707963267948966,0.7165620292546524,0.23834249631108334,1
0.01,4.71238898038469,0.0,3.141592653589793,0.9156641473280662,0.2416791455644072,1
0.01,4.71238898038469,0.0,4.71238898038469,0.5857779919180173,0.09056011612136888,1
0.01,4.71238898038469,1.5707963267948966,0.0,0.4822816005553734,0.3394543909304753,1
