order,damping,harmonic,triple,nu1,nu2,nu3,common_factor_abs,common_factor_phase,order_error,damping_error,morphology_error,invariant_imag_abs,pass
0.97,0.2,2,1-3-4,2.0,3.8,5.2,3.2,0.63,1.4721557306529576e-13,8.032463583163008e-14,1.2651653438719297e-12,0.0,1
0.97,0.2,2,2-3-4,2.8,3.8,5.2,1.0,0.0,1.4721557306529576e-13,8.856804178947186e-14,4.1301788724346716e-13,4.518954434689988e-16,1
0.97,0.2,2,2-3-4,2.8,3.8,5.2,3.2,0.63,1.4721557306529576e-13,8.854028621385623e-14,1.3209990979534094e-12,1.6711334598592574e-16,1
0.97,0.2,1,0-1-2,0.7,1.0,1.4,1.0,0.0,1.4721557306529576e-13,3.136380044566067e-14,3.3006960396913095e-13,6.095558412285429e-16,1
0.97,0.2,1,0-1-2,0.7,1.0,1.4,3.2,0.63,1.4721557306529576e-13,3.1530333899354446e-14,1.0573111501451723e-12,0.0,1
0.97,0.2,1,0-1-3,0.7,1.0,1.9,1.0,0.0,3.352873534367973e-14,7.077671781985373e-15,7.471932927581089e-14,4.0637056081902865e-16,1
0.97,0.2,1,0-1-3,0.7,1.0,1.9,3.2,0.63,3.352873534367973e-14,7.271960811294775e-15,2.4059934130314773e-13,3.5131068104890585e-16,1
0.97,0.2,1,0-1-4,0.7,1.0,2.6,1.0,0.0,2.3314683517128287e-14,5.023759186428833e-15,5.2854079129371915e-14,2.0318528040951434e-15,1
0.97,0.2,1,0-1-4,0.7,1.0,2.6,3.2,0.63,2.3314683517128287e-14,4.884981308350689e-15,1.6824652471082982e-13,7.026213620978117e-16,1
0.97,0.2,1,0-2-3,0.7,1.4,1.9,1.0,0.0,1.4721557306529576e-13,3.808064974464287e-14,3.497343505429261e-13,2.6278630656852744e-16,1
0.97,0.2,1,0-2-3,0.7,1.4,1.9,3.2,0.63,1.4721557306529576e-13,3.83026943495679e-14,1.117711514752972e-12,2.271809162180651e-16,1
0.97,0.2,1,0-2-4,0.7,1.4,2.6,1.0,0.0,8.01581023779363e-14,2.0844437287337314e-14,1.8992450649315348e-13,1.7519087104568496e-16,1
0.97,0.2,1,0-2-4,0.7,1.4,2.6,3.2,0.63,8.01581023779363e-14,2.0594637106796654e-14,6.092514316664789e-13,4.543618324361302e-16,1
0.97,0.2,1,0-3-4,0.7,1.9,2.6,1.0,0.0,1.4721557306529576e-13,4.488076577047195e-14,3.705679154646914e-13,4.111660672760721e-16,1
0.97,0.2,1,0-3-4,0.7,1.9,2.6,3.2,0.63,1.4721557306529576e-13,4.4853010194856324e-14,1.185496457613513e-12,0.0,1
0.97,0.2,1,1-2-3,1.0,1.4,1.9,1.0,0.0,1.4721557306529576e-13,4.390932062392494e-14,3.665431874969056e-13,6.159054247975549e-16,1
0.97,0.2,1,1-2-3,1.0,1.4,1.9,3.2,0.63,1.4721557306529576e-13,4.424238753131249e-14,1.1694167526965945e-12,2.6622764430972597e-16,1
0.97,0.2,1,1-2-4,1.0,1.4,2.6,1.0,0.0,3.352873534367973e-14,9.853229343548264e-15,8.42875734065166e-14,3.0795271239877747e-16,1
0.97,0.2,1,1-2-4,1.0,1.4,2.6,3.2,0.63,3.352873534367973e-14,1.0269562977782698e-14,2.6593380474731826e-13,1.0649105772389039e-15,1
0.97,0.2,1,1-3-4,1.0,1.9,2.6,1.0,0.0,1.4721557306529576e-13,5.037636974236648e-14,3.8648380007427723e-13,5.503864270312613e-16,1
0.97,0.2,1,1-3-4,1.0,1.9,2.6,3.2,0.63,1.4721557306529576e-13,5.0459636469213365e-14,1.2356566801127334e-12,1.1895339448970005e-16,1
0.97,0.2,1,2-3-4,1.4,1.9,2.6,1.0,0.0,1.4721557306529576e-13,5.676015213396113e-14,4.035700399679764e-13,1.1193001653112948e-15,1
0.97,0.2,1,2-3-4,1.4,1.9,2.6,3.2,0.63,1.4721557306529576e-13,5.6316062924111066e-14,1.2929731130648315e-12,1.0751601870774614e-16,1
0.97,0.2,2,0-1-2,1.4,2.0,2.8,1.0,0.0,1.4721557306529576e-13,5.775935285612377e-14,4.120579108042467e-13,5.655800821940298e-16,1
0.97,0.2,2,0-1-2,1.4,2.0,2.8,3.2,0.63,1.4721557306529576e-13,5.750955267558311e-14,1.3157908399551788e-12,9.5270340534629e-17,1
