order,damping,morphology_abs,frequencies,relative_error,draw,u_w,u_r,u_alpha,alpha_error,alpha_bound,chain_contains,disk_residual
0.7,0.3,1.019803902718557,0.7-1.0-1.4,0.01,80,0.973645548952482,0.6006916287372952,0.5081428391813354,0.26568947347623173,0.5228637559948336,1,-0.015722121344733057
0.7,0.3,1.019803902718557,0.7-1.4-2.6,0.0001,31,0.9038950117024933,0.8038258090612829,0.6356668882236783,0.0008703093791155858,0.0013691280688657508,1,-9.702390698632422e-05
0.7,0.3,1.019803902718557,0.7-1.4-2.6,0.001,82,0.9336790418302474,0.7602975536846815,0.6001519046179692,0.008284837441442594,0.013804567439832362,1,-0.0011637744026022534
0.7,0.3,1.019803902718557,0.7-1.4-2.6,0.005,79,0.9638176370728421,0.8393290136427726,0.6988564178809835,0.04759724247760466,0.06810732685538642,1,-0.0038603838957097583
0.7,0.3,1.019803902718557,0.7-1.4-2.6,0.01,119,0.9501573592700608,0.6932463402081177,0.5459018750907558,0.08098607442625494,0.14835280500326373,1,-0.013113957434796465
0.7,0.3,1.019803902718557,0.7-1.9-2.6,0.0001,13,0.9747413279055163,0.8782119225810225,0.7331997029531068,0.0016165630371689499,0.002204805908482945,1,-5.2713992277718185e-05
0.7,0.3,1.019803902718557,0.7-1.9-2.6,0.001,39,0.965763993191268,0.9053335558284957,0.7734817115106151,0.017041276990676257,0.022031906814441064,1,-0.0004060299380141217
0.7,0.3,1.019803902718557,0.7-1.9-2.6,0.005,40,0.9657102438860328,0.8480699259454915,0.7104413444723101,0.08106932130631339,0.1141112097952699,1,-0.002791829710814056
0.7,0.3,1.019803902718557,0.7-1.9-2.6,0.01,83,0.9615384476533864,0.8857675812150265,0.7497590125491485,0.16436105801803924,0.21921851590582245,1,-0.004491753202746571
0.7,0.3,1.019803902718557,1.0-1.4-1.9,0.0001,100,0.9304987332521234,0.745609855902387,0.6630235013132655,0.003885253539556377,0.005859903203824251,1,-0.00012821754181423727
0.7,0.3,1.019803902718557,1.0-1.4-1.9,0.001,126,0.7852520939747726,0.7583760034046471,0.6828674615684227,0.03992178743828845,0.05846198520953882,1,-0.0012084438186394223
0.7,0.3,1.019803902718557,1.0-1.4-1.9,0.005,106,0.8446460173092016,0.6426742783772055,0.5633461824392596,0.1816955129472264,0.3225290569299579,1,-0.007839880654870453
0.7,0.3,1.019803902718557,1.0-1.4-1.9,0.01,24,0.7151658846972209,0.607874630335324,0.5140461873580181,0.29999999999999993,0.5836051455645925,1,-0.01860181657201352
0.7,0.3,1.252996408614167,0.7-1.0-1.4,0.0001,102,0.6998195088863715,0.6883032909463419,0.579323463080987,0.003008252405834355,0.0051926990663138635,1,-0.00010654441118568083
0.7,0.3,1.252996408614167,0.7-1.0-1.4,0.001,108,0.955254078756646,0.7887561600767342,0.7038774309178594,0.03715380887369968,0.052784486675827844,1,-0.0006861051555801106
0.7,0.3,1.252996408614167,0.7-1.0-1.4,0.005,101,0.89456730045337,0.7372139985091005,0.6777777375863842,0.17410886611360166,0.25688194884301746,1,-0.004332361621472462
0.7,0.3,1.252996408614167,0.7-1.0-1.4,0.01,37,0.8523180678805841,0.6727801080771908,0.5865192479454574,0.29999999999999993,0.51149216509242,1,-0.010471508185632618
0.7,0.3,1.252996408614167,0.7-1.4-2.6,0.0001,9,0.9747796902844585,0.7081611738739607,0.5760565646373371,0.0007893621898804604,0.0013702859030474068,1,-0.00011737757609282812
0.7,0.3,1.252996408614167,0.7-1.4-2.6,0.001,46,0.9674649171384954,0.7896188513937727,0.6451032145825765,0.008826473981571215,0.013682266313434067,1,-0.0008432414797190989
0.7,0.3,1.252996408614167,0.7-1.4-2.6,0.005,22,0.9563524980960566,0.8204730513276147,0.6771406211088675,0.04621489740397933,0.06825007385954639,1,-0.0035176835960969953
0.7,0.3,1.252996408614167,0.7-1.4-2.6,0.01,5,0.9482054447333492,0.8674852934921037,0.7107803462376941,0.09599404635946485,0.13505444666215236,1,-0.004948725754428132
0.7,0.3,1.252996408614167,0.7-1.9-2.6,0.0001,112,0.9003596909172623,0.8579973403312641,0.7396179494428451,0.0016306214696669707,0.002204680769166459,1,-5.003237963050486e-05
0.7,0.3,1.252996408614167,0.7-1.9-2.6,0.001,71,0.9509176048630495,0.8620203231399884,0.6675996884028125,0.01482138668652655,0.02220100899385637,1,-0.0004708965039600505
0.7,0.3,1.252996408614167,0.7-1.9-2.6,0.005,24,0.9937984874193824,0.8022427645974629,0.6855078546532732,0.07558409382781983,0.11025999675240764,1,-0.00339170354572353
