record,role,model,split,harmonic,count_complex,sse_mV2,rmse_mV,mae_mV,nrmse_energy,r2_centered
f1o01,engineering_calibration,alpha_one_nested,identification,all,339,0.1375015254418237,0.02013974229210494,0.017344744401803034,0.6538671136337111,0.004714385272927557
f1o01,engineering_calibration,alpha_one_nested,identification,1,113,0.024083613734452045,0.014598949451369657,0.012058318159995295,0.441804062213993,0.010849439616196443
f1o01,engineering_calibration,alpha_one_nested,identification,2,113,0.0209772174005143,0.01362494374446917,0.01253342170785734,0.6742851931086197,0.0043823139311598425
f1o01,engineering_calibration,alpha_one_nested,identification,3,113,0.09244069430685736,0.028601734941321393,0.027442493337556467,0.7796269851508268,0.0031790691474274935
f1o01,engineering_calibration,alpha_one_nested,validation,all,948,0.4121573493078645,0.020851022430583614,0.017664259164185656,0.6845284645213071,-0.0013684216582179332
f1o01,engineering_calibration,alpha_one_nested,validation,1,316,0.09194933501881422,0.01705810388898446,0.014038704328798975,0.4937372401720479,0.02530552684466636
f1o01,engineering_calibration,alpha_one_nested,validation,2,316,0.0634174196778455,0.014166440518182655,0.012273847484753193,0.7466540793471155,-0.030494918079113198
f1o01,engineering_calibration,alpha_one_nested,validation,3,316,0.25679059461120474,0.028506638945331817,0.026680225679004813,0.8128521591834907,-0.004199141835731002
f1o01,engineering_calibration,constant_fourier,identification,all,339,0.13815283111424193,0.02018738406191477,0.017408338116928775,0.6554138755565867,0.0
f1o01,engineering_calibration,constant_fourier,identification,1,113,0.02434777343209236,0.014678794961540313,0.012138144215095,0.4442204053118612,0.0
f1o01,engineering_calibration,constant_fourier,identification,2,113,0.021069550786449037,0.013654896618063114,0.012574997432803095,0.6757675316440466,0.0
f1o01,engineering_calibration,constant_fourier,identification,3,113,0.09273550689570054,0.0286473070744323,0.027511872702888233,0.7808691917797969,0.0
f1o01,engineering_calibration,constant_fourier,validation,all,948,0.41702316744701934,0.020973742058983454,0.017964366512324383,0.6885572875238641,-0.013190306281320563
f1o01,engineering_calibration,constant_fourier,validation,1,316,0.09480588405839911,0.017321045593092003,0.014595762769821052,0.5013479401746448,-0.0049748722534985745
f1o01,engineering_calibration,constant_fourier,validation,2,316,0.0632273705308879,0.014145197616296339,0.012384540560023864,0.7455344544610878,-0.027406733773918113
f1o01,engineering_calibration,constant_fourier,validation,3,316,0.2589899128577324,0.0286284531860921,0.026912796207128234,0.816325629655095,-0.012799743034270117
f1o01,engineering_calibration,rate_shuffle_negative_control,identification,all,339,0.1381337671672247,0.02018599116791993,0.01740554935878854,0.6553686531519106,0.00013799172165684936
f1o01,engineering_calibration,rate_shuffle_negative_control,identification,1,113,0.024328847263107183,0.014673088744427108,0.012133626443222847,0.44404771960533923,0.0007773264786599121
f1o01,engineering_calibration,rate_shuffle_negative_control,identification,2,113,0.021050659747440907,0.01364877372930024,0.012571709904956442,0.6754645158438137,0.0008966037861747322
f1o01,engineering_calibration,rate_shuffle_negative_control,identification,3,113,0.09275426015667661,0.02865020350152079,0.027511311728186327,0.7809481426799202,-0.00020222309236062053
f1o01,engineering_calibration,rate_shuffle_negative_control,validation,all,948,0.4148721553807294,0.020919580681429666,0.017847769571583884,0.6867791970375736,-0.007964254722599984
f1o01,engineering_calibration,rate_shuffle_negative_control,validation,1,316,0.09358531420800573,0.0172091852689275,0.014381112068677662,0.49811020589320476,0.007963586594899152
f1o01,engineering_calibration,rate_shuffle_negative_control,validation,2,316,0.06324866018891721,0.014147578872005325,0.012337760164464672,0.7456599605320589,-0.027752677909114842
f1o01,engineering_calibration,rate_shuffle_negative_control,validation,3,316,0.2580381809838064,0.028575803087588864,0.026824436481609325,0.8148243391546031,-0.009077923189188875
f2y01,locked_engineering_validation,fractional_common,identification,all,375,0.13335125999303313,0.018857448395300506,0.016673803622840738,0.6294558163669935,0.02452788097851155
f2y01,locked_engineering_validation,fractional_common,identification,1,125,0.04671064229115983,0.019330937337058405,0.016252943973098705,0.48986215347882667,0.050289393486023126
f2y01,locked_engineering_validation,fractional_common,identification,2,125,0.04324139866219009,0.01859922550262566,0.016854616051162844,0.7297815460459843,0.010315486344851577
f2y01,locked_engineering_validation,fractional_common,identification,3,125,0.043399219039683204,0.01863313586913018,0.016913850844260666,0.845460236264668,0.009786511395494912
